Provider_classification_type,Provider_classification_code,NPI_Required
1,213EP0504X,YES
1,213EP1101X,YES
1,213ER0200X,YES
1,213ES0000X,YES
1,213ES0103X,YES
1,213ES0131X,YES
1,221700000X,YES
1,222Q00000X,YES
1,222Z00000X,YES
1,224900000X,YES
1,224L00000X,YES
1,224P00000X,YES
1,224Y00000X,YES
1,224Z00000X,YES
1,224ZE0001X,YES
1,224ZF0002X,YES
1,224ZL0004X,YES
1,224ZR0403X,YES
1,225000000X,YES
1,225100000X,YES
1,2251C2600X,YES
1,2251E1200X,YES
1,2251E1300X,YES
1,2251G0304X,YES
1,2251H1200X,YES
1,2251H1300X,YES
1,2251N0400X,YES
1,2251P0200X,YES
1,2251S0007X,YES
1,2251X0800X,YES
1,225200000X,YES
1,225400000X,YES
1,225500000X,YES
1,2255A2300X,YES
1,2255R0406X,YES
1,225600000X,YES
1,225700000X,NO
1,225800000X,YES
1,225A00000X,YES
1,225B00000X,YES
1,225C00000X,YES
1,225CA2400X,YES
1,225CA2500X,YES
1,225CX0006X,YES
1,225X00000X,YES
1,225XE0001X,YES
1,225XE1200X,YES
1,225XF0002X,YES
1,225XG0600X,YES
1,225XH1200X,YES
1,225XH1300X,YES
1,225XL0004X,YES
1,225XM0800X,YES
1,225XN1300X,YES
1,225XP0019X,YES
1,225XP0200X,YES
1,225XR0403X,YES
1,226000000X,YES
1,226300000X,YES
1,227800000X,YES
1,2278C0205X,YES
1,2278E0002X,YES
1,2278E1000X,YES
1,2278G0305X,YES
1,2278G1100X,YES
1,2278H0200X,YES
1,2278P1004X,YES
1,2278P1005X,YES
1,2278P1006X,YES
1,2278P3800X,YES
1,2278P3900X,YES
1,2278P4000X,YES
1,2278S1500X,YES
1,227900000X,YES
1,2279C0205X,YES
1,2279E0002X,YES
1,2279E1000X,YES
1,2279G0305X,YES
1,2279G1100X,YES
1,2279H0200X,YES
1,2279P1004X,YES
1,2279P1005X,YES
1,2279P1006X,YES
1,2279P3800X,YES
1,2279P3900X,YES
1,2279P4000X,YES
1,2279S1500X,YES
1,229N00000X,YES
1,231H00000X,YES
1,231HA2400X,YES
1,231HA2500X,YES
1,235500000X,YES
1,2355A2700X,YES
1,2355S0801X,YES
1,235Z00000X,YES
1,237600000X,YES
1,237700000X,YES
1,242T00000X,YES
1,243U00000X,YES
1,246Q00000X,YES
1,246QB0000X,YES
1,246QC1000X,YES
1,246QC2700X,YES
1,246QH0000X,YES
1,246QH0401X,YES
1,246QH0600X,YES
1,246QI0000X,YES
1,246QL0900X,YES
1,246QL0901X,YES
1,246QM0706X,YES
1,246QM0900X,YES
1,246R00000X,YES
1,246RH0600X,YES
1,246RM2200X,YES
1,246RP1900X,YES
1,246W00000X,YES
1,246X00000X,YES
1,246XC2901X,YES
1,246XC2903X,YES
1,246XS1301X,YES
1,246Y00000X,YES
1,246YC3301X,YES
1,246YC3302X,YES
1,246YR1600X,YES
1,246Z00000X,YES
1,246ZA2600X,YES
1,246ZB0301X,YES
1,246ZB0302X,YES
1,246ZB0500X,YES
1,246ZB0600X,YES
1,246ZC0007X,YES
1,246ZE0500X,YES
1,246ZE0600X,YES
1,246ZG0701X,YES
1,246ZG1000X,YES
1,246ZI1000X,YES
1,246ZN0300X,YES
1,246ZS0410X,YES
1,246ZX2200X,YES
1,247000000X,NO
1,2470A2800X,NO
1,247100000X,YES
1,2471B0102X,YES
1,2471C1101X,YES
1,2471C1106X,YES
1,2471C3401X,YES
1,2471C3402X,YES
1,2471M1202X,YES
1,2471M2300X,YES
1,2471N0900X,YES
1,2471Q0001X,YES
1,2471R0002X,YES
1,2471S1302X,YES
1,2471V0105X,YES
1,2471V0106X,YES
1,247200000X,YES
1,2472B0301X,NO
1,2472D0500X,NO
1,2472E0500X,YES
1,2472R0900X,YES
1,2472V0600X,NO
1,247ZC0005X,YES
1,251300000X,YES
1,251B00000X,YES
1,251C00000X,NO
1,251E00000X,YES
1,251F00000X,YES
1,251G00000X,YES
1,251J00000X,YES
1,251K00000X,NO
1,251S00000X,YES
1,251T00000X,YES
1,251V00000X,YES
1,251X00000X,NO
1,252Y00000X,YES
1,253J00000X,NO
1,253Z00000X,NO
1,261Q00000X,YES
1,261QA0005X,YES
1,261QA0006X,YES
1,261QA0600X,NO
1,261QA0900X,YES
1,261QA1903X,YES
1,261QA3000X,YES
1,261QB0400X,YES
1,261QC0050X,YES
1,261QC1500X,YES
1,261QC1800X,YES
1,261QD0000X,YES
1,261QD1600X,YES
1,261QE0002X,YES
1,261QE0700X,YES
1,261QE0800X,YES
1,261QF0050X,YES
1,261QF0400X,YES
1,261QG0250X,YES
1,261QH0100X,YES
1,261QH0700X,YES
1,261QI0500X,YES
1,261QL0400X,YES
1,261QM0801X,YES
1,261QM0850X,YES
1,261QM0855X,YES
1,261QM1000X,YES
1,261QM1100X,YES
1,261QM1101X,YES
1,261QM1102X,YES
1,261QM1103X,YES
1,261QM1200X,YES
1,261QM1300X,YES
1,261QM2500X,YES
1,261QM2800X,YES
1,261QM3000X,YES
1,261QP0904X,YES
1,261QP0905X,YES
1,261QP1100X,YES
1,261QP2000X,YES
1,261QP2300X,YES
1,261QP2400X,YES
1,261QP3300X,YES
1,261QR0200X,YES
1,261QR0206X,YES
1,261QR0207X,YES
1,261QR0208X,YES
1,261QR0400X,YES
1,261QR0401X,YES
1,261QR0404X,YES
1,261QR0405X,YES
1,261QR0800X,YES
1,261QR1100X,YES
1,261QR1300X,YES
1,261QS0112X,YES
1,261QS0132X,YES
