,ZipCode,StateFIPS
1173,3579,33
1174,3579,23
1175,3580,33
1176,3581,33
1177,3582,33
1178,3583,33
1179,3584,33
1180,3585,33
1181,3586,33
1182,3588,33
1183,3589,33
1184,3590,33
1185,3592,33
1186,3593,33
1187,3595,33
1188,3597,33
1189,3598,33
1190,3601,33
1191,3602,33
1192,3602,33
1193,3603,33
1194,3604,33
1195,3605,33
1196,3607,33
1197,3608,33
1198,3609,33
1199,3740,33
1200,3741,33
1201,3743,33
1202,3745,33
1203,3746,33
1204,3748,33
1205,3748,33
1206,3749,33
1207,3750,33
1208,3751,33
1209,3752,33
1210,3753,33
1211,3754,33
1212,3755,33
1213,3756,33
1214,3765,33
1215,3766,33
1216,3768,33
1217,3769,33
1218,3770,33
1219,3771,33
1220,3773,33
1221,3774,33
1222,3777,33
1223,3779,33
1224,3780,33
1225,3781,33
1226,3782,33
1227,3784,33
1228,3785,33
1229,3801,33
1230,3802,33
1231,3803,33
1232,3804,33
1233,3809,33
1234,3810,33
1235,3811,33
1236,3812,33
1237,3813,33
1238,3814,33
1239,3815,33
1240,3816,33
1241,3817,33
1242,3818,33
1243,3819,33
1244,3820,33
1245,3821,33
1246,3822,33
1247,3823,33
1248,3824,33
1249,3825,33
1250,3826,33
1251,3827,33
1252,3830,33
1253,3832,33
1254,3833,33
1255,3835,33
1256,3836,33
1257,3837,33
1258,3838,33
1259,3839,33
1260,3840,33
1261,3841,33
1262,3842,33
1263,3843,33
1264,3844,33
1265,3845,33
1266,3846,33
1267,3847,33
1268,3848,33
1269,3849,33
1270,3850,33
1271,3851,33
1272,3852,33
1273,3853,33
1274,3854,33
1275,3855,33
1276,3856,33
1277,3857,33
1278,3858,33
1279,3859,33
1280,3860,33
1281,3861,33
1282,3862,33
1283,3864,33
1284,3865,33
1285,3866,33
1286,3867,33
1287,3868,33
1288,3869,33
1289,3870,33
1290,3871,33
1291,3872,33
1292,3873,33
1293,3874,33
1294,3875,33
1295,3878,33
1296,3882,33
1297,3883,33
1298,3884,33
1299,3885,33
1300,3886,33
1301,3887,33
1302,3887,33
1303,3890,33
1304,3894,33
1305,3896,33
1306,3897,33
1307,3901,23
1308,3902,23
1309,3903,23
1310,3904,23
1311,3905,23
1312,3906,23
1313,3907,23
1314,3908,23
1315,3909,23
1316,3910,23
1317,3911,23
1318,4001,23
1319,4002,23
1320,4003,23
1321,4004,23
1322,4005,23
1323,4006,23
1324,4007,23
1325,4008,23
1326,4009,23
1327,4010,23
1328,4011,23
1329,4013,23
1330,4014,23
1331,4015,23
1332,4016,23
1333,4017,23
1334,4019,23
1335,4020,23
1336,4021,23
1337,4022,23
1338,4024,23
1339,4027,23
1340,4028,23
1341,4029,23
1342,4030,23
1343,4032,23
1344,4033,23
1345,4034,23
1346,4037,23
1347,4038,23
1348,4038,23
1349,4039,23
1350,4040,23
1351,4040,23
1352,4041,23
1353,4042,23
1354,4043,23
1355,4046,23
1356,4047,23
1357,4048,23
1358,4049,23
1359,4050,23
1360,4051,23
1361,4054,23
1362,4055,23
1363,4056,23
1364,4057,23
1365,4061,23
1366,4062,23
1367,4063,23
1368,4064,23
1369,4066,23
1370,4068,23
1371,4069,23
1372,4070,23
1373,4071,23
1374,4072,23
1375,4073,23
1376,4074,23
1377,4076,23
1378,4077,23
1379,4078,23
1380,4079,23
1381,4082,23
1382,4083,23
1383,4084,23
1384,4085,23
1385,4085,23
1386,4086,23
1387,4086,23
1388,4087,23
1389,4088,23
1390,4090,23
1391,4091,23
1392,4092,23
1393,4093,23
1394,4093,23
1395,4094,23
1396,4095,23
1397,4096,23
1398,4097,23
1399,4098,23
1400,4101,23
1401,4102,23
1402,4103,23
1403,4104,23
1404,4105,23
1405,4106,23
1406,4107,23
1407,4108,23
1408,4109,23
1409,4110,23
1410,4112,23
1411,4116,23
1412,4122,23
1413,4123,23
1414,4124,23
1415,4210,23
1416,4211,23
1417,4212,23
1418,4216,23
1419,4217,23
1420,4219,23
1421,4220,23
